<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190318,10:12:00,1504.0,1504.0,1504.0,1504.0,16
20190318,10:13:00,1504.0,1504.0,1504.0,1504.0,2
20190318,10:15:00,1504.0,1508.0,1504.0,1508.0,26
20190318,10:19:00,1507.0,1507.0,1507.0,1507.0,6
20190318,10:26:00,1507.0,1508.0,1507.0,1508.0,20
20190318,10:27:00,1508.0,1509.0,1508.0,1509.0,13
20190318,10:30:00,1505.0,1505.0,1505.0,1505.0,1
20190318,10:34:00,1509.0,1509.0,1509.0,1509.0,2
20190318,10:40:00,1509.0,1509.0,1509.0,1509.0,3
20190318,10:42:00,1510.0,1510.0,1510.0,1510.0,1
20190318,10:47:00,1510.0,1510.0,1510.0,1510.0,1
20190318,10:51:00,1510.0,1510.0,1510.0,1510.0,2
20190318,10:55:00,1510.0,1510.0,1510.0,1510.0,10
20190318,11:11:00,1510.0,1510.0,1510.0,1510.0,2
20190318,11:14:00,1510.0,1510.0,1510.0,1510.0,1
20190318,11:18:00,1510.0,1510.0,1510.0,1510.0,1
20190318,11:24:00,1507.0,1507.0,1507.0,1507.0,1
20190318,11:26:00,1509.0,1509.0,1506.0,1506.0,21
20190318,11:30:00,1507.0,1507.0,1505.0,1505.0,10
20190318,11:38:00,1509.0,1509.0,1509.0,1509.0,1
20190318,11:40:00,1506.0,1506.0,1505.0,1505.0,21
20190318,11:43:00,1509.0,1509.0,1509.0,1509.0,3
20190318,11:47:00,1509.0,1509.0,1509.0,1509.0,1
20190318,11:52:00,1508.0,1510.0,1508.0,1510.0,19
20190318,11:55:00,1510.0,1510.0,1510.0,1510.0,20
20190318,11:56:00,1510.0,1510.0,1510.0,1510.0,4
20190318,11:58:00,1506.0,1506.0,1505.0,1505.0,12
20190318,12:07:00,1505.0,1505.0,1505.0,1505.0,6
20190318,12:08:00,1505.0,1505.0,1505.0,1505.0,13
20190318,12:22:00,1505.0,1505.0,1505.0,1505.0,20
20190318,12:37:00,1505.0,1505.0,1505.0,1505.0,5
20190318,12:43:00,1505.0,1505.0,1505.0,1505.0,14
20190318,13:06:00,1505.0,1505.0,1505.0,1505.0,1
20190318,13:09:00,1505.0,1505.0,1505.0,1505.0,10
20190318,13:12:00,1505.0,1505.0,1505.0,1505.0,31
20190318,13:13:00,1508.0,1508.0,1508.0,1508.0,8
20190318,13:28:00,1509.0,1509.0,1509.0,1509.0,1
20190318,13:29:00,1508.0,1508.0,1502.0,1502.0,4827
20190318,13:32:00,1503.0,1503.0,1503.0,1503.0,11
20190318,13:34:00,1506.0,1506.0,1506.0,1506.0,1
20190318,13:48:00,1505.0,1505.0,1505.0,1505.0,6
20190318,14:13:00,1505.0,1505.0,1505.0,1505.0,2
20190318,14:22:00,1503.0,1503.0,1502.0,1502.0,47
20190318,14:24:00,1502.0,1502.0,1502.0,1502.0,1
20190318,14:27:00,1502.0,1502.0,1502.0,1502.0,8
20190318,14:28:00,1505.0,1507.0,1502.0,1502.0,145
20190318,14:39:00,1507.0,1508.0,1507.0,1508.0,2
20190318,14:43:00,1503.0,1508.0,1503.0,1508.0,21
20190318,14:55:00,1503.0,1503.0,1503.0,1503.0,2
20190318,15:02:00,1507.0,1507.0,1507.0,1507.0,1
20190318,15:07:00,1507.0,1507.0,1507.0,1507.0,1
20190318,15:09:00,1508.0,1508.0,1508.0,1508.0,1
20190318,15:10:00,1508.0,1508.0,1508.0,1508.0,9
20190318,15:14:00,1508.0,1508.0,1508.0,1508.0,1
20190318,15:17:00,1508.0,1508.0,1508.0,1508.0,2
20190318,15:18:00,1508.0,1508.0,1508.0,1508.0,9
20190318,15:20:00,1508.0,1508.0,1508.0,1508.0,4
20190318,15:27:00,1508.0,1508.0,1508.0,1508.0,2
20190318,15:37:00,1508.0,1508.0,1508.0,1508.0,22
20190318,15:46:00,1508.0,1508.0,1508.0,1508.0,15
20190318,15:52:00,1505.0,1505.0,1505.0,1505.0,2
20190318,15:58:00,1505.0,1505.0,1505.0,1505.0,5
20190318,16:02:00,1507.0,1508.0,1507.0,1508.0,3
20190318,16:11:00,1507.0,1507.0,1507.0,1507.0,1
20190318,16:16:00,1504.0,1504.0,1504.0,1504.0,1
20190318,16:17:00,1504.0,1504.0,1504.0,1504.0,4
20190318,16:29:00,1503.0,1503.0,1503.0,1503.0,20
20190318,16:30:00,1503.0,1503.0,1503.0,1503.0,1
20190318,16:39:00,1504.0,1504.0,1504.0,1504.0,2
20190318,16:45:00,1504.0,1504.0,1504.0,1504.0,11
20190318,16:56:00,1504.0,1504.0,1504.0,1504.0,1
