,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,20210104,10:00:00,71.8,72.64,71.7,72.46,3808440
1,20210104,11:00:00,72.46,72.84,72.22,72.8,2044280
2,20210104,12:00:00,72.8,73.1,72.56,73.0,2621980
3,20210104,13:00:00,73.0,73.06,72.7,72.86,841300
4,20210104,14:00:00,72.88,72.94,72.66,72.68,650750
5,20210104,15:00:00,72.68,72.98,72.46,72.7,1753220
6,20210104,16:00:00,72.7,72.98,72.52,72.82,796420
7,20210104,17:00:00,72.84,72.9,72.46,72.64,814860
8,20210104,18:00:00,72.64,72.64,72.32,72.32,1267150
9,20210104,19:00:00,72.4,72.4,71.76,71.96,1442180
10,20210104,20:00:00,71.94,71.98,71.6,71.74,801940
11,20210104,21:00:00,71.74,72.12,71.64,72.08,320330
12,20210104,22:00:00,72.08,72.14,71.96,72.1,283960
13,20210104,23:00:00,72.1,72.1,71.82,72.06,252210
14,20210105,10:00:00,72.12,72.26,71.8,72.1,1885720
15,20210105,11:00:00,72.1,72.8,72.06,72.6,1617230
16,20210105,12:00:00,72.6,72.68,72.46,72.58,925270
17,20210105,13:00:00,72.56,72.78,72.4,72.66,1063780
18,20210105,14:00:00,72.64,72.72,72.46,72.58,584000
19,20210105,15:00:00,72.58,72.64,72.34,72.44,452950
20,20210105,16:00:00,72.42,72.44,72.06,72.12,995720
21,20210105,17:00:00,72.12,72.68,72.12,72.66,1626590
22,20210105,18:00:00,72.68,72.84,72.56,72.84,2375910
23,20210105,19:00:00,72.84,72.86,72.44,72.68,323250
24,20210105,20:00:00,72.68,72.8,72.62,72.64,309740
25,20210105,21:00:00,72.66,72.72,72.58,72.68,328130
26,20210105,22:00:00,72.68,72.8,72.62,72.7,316970
27,20210105,23:00:00,72.7,72.76,72.58,72.74,296030
28,20210106,10:00:00,72.9,73.78,72.62,73.2,4794010
29,20210106,11:00:00,73.22,73.36,72.74,72.78,2624750
30,20210106,12:00:00,72.8,73.36,72.66,73.2,1980060
31,20210106,13:00:00,73.22,73.58,72.94,73.38,2562760
32,20210106,14:00:00,73.4,73.44,73.12,73.14,1002590
33,20210106,15:00:00,73.14,73.26,72.9,73.12,1020190
34,20210106,16:00:00,73.04,73.34,73.02,73.12,433740
35,20210106,17:00:00,73.12,73.18,72.98,73.06,714270
36,20210106,18:00:00,73.06,73.3,73.04,73.3,1163650
37,20210106,19:00:00,73.3,73.3,73.04,73.1,513260
38,20210106,20:00:00,73.12,73.26,73.04,73.06,214710
