,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,20190103,00:00:00,941.5,942.6,926.3,934.2,601260
1,20190104,00:00:00,934.0,949.7,931.1,949.7,335270
2,20190108,00:00:00,950.5,960.0,941.3,952.7,563930
3,20190109,00:00:00,953.1,973.5,950.0,972.6,1027020
4,20190110,00:00:00,972.6,973.4,958.6,970.0,725000
5,20190111,00:00:00,970.2,972.5,961.5,972.5,709610
6,20190114,00:00:00,967.2,969.6,956.2,960.5,557100
7,20190115,00:00:00,959.9,964.0,951.8,954.8,549480
8,20190116,00:00:00,954.9,959.2,947.1,953.1,509980
9,20190117,00:00:00,953.0,954.8,945.2,953.2,656000
10,20190118,00:00:00,953.7,961.8,950.3,954.8,425460
11,20190121,00:00:00,956.4,956.9,948.2,950.0,273150
12,20190122,00:00:00,951.5,952.3,946.0,952.3,416150
13,20190123,00:00:00,950.0,952.2,943.3,945.8,412850
14,20190124,00:00:00,944.0,944.7,923.7,926.0,952730
15,20190125,00:00:00,929.0,951.0,922.3,951.0,674660
16,20190128,00:00:00,951.0,953.0,942.2,952.5,438420
17,20190129,00:00:00,953.1,959.3,947.0,956.9,490310
18,20190130,00:00:00,955.2,976.6,953.3,976.2,951930
19,20190131,00:00:00,979.3,1006.0,976.7,998.5,1962330
20,20190201,00:00:00,1000.2,1014.8,988.6,1014.8,1140970
21,20190204,00:00:00,1015.2,1030.0,1014.8,1029.0,1101890
22,20190205,00:00:00,1029.0,1039.8,1022.0,1028.8,1133730
23,20190206,00:00:00,1028.0,1028.8,1012.4,1019.0,935200
24,20190207,00:00:00,1016.0,1030.0,1010.2,1026.0,755750
25,20190208,00:00:00,1022.0,1030.0,1020.8,1022.2,460140
26,20190211,00:00:00,1021.4,1035.0,1021.4,1031.4,729990
27,20190212,00:00:00,1033.8,1039.2,1023.0,1035.0,499440
28,20190213,00:00:00,1033.0,1037.4,1010.8,1011.8,830590
29,20190214,00:00:00,1002.8,1023.2,1001.6,1014.0,841580
30,20190215,00:00:00,1015.0,1027.0,1013.2,1024.2,436380
31,20190218,00:00:00,1023.0,1028.0,1005.4,1013.0,373190
32,20190219,00:00:00,1013.2,1014.6,997.2,999.0,340640
33,20190220,00:00:00,998.8,1010.8,995.8,1007.8,694910
34,20190221,00:00:00,1007.4,1008.2,990.4,992.4,622670
35,20190222,00:00:00,994.0,1002.4,994.0,1001.6,464170
36,20190225,00:00:00,1002.0,1029.8,1002.0,1029.8,928620
37,20190226,00:00:00,1025.2,1035.0,1021.2,1035.0,528980
38,20190227,00:00:00,1035.0,1039.6,1022.6,1033.4,508290
39,20190228,00:00:00,1036.6,1037.2,1019.0,1028.8,774280
40,20190301,00:00:00,1028.6,1031.8,1021.6,1029.0,442480
41,20190304,00:00:00,1032.0,1048.6,1029.2,1041.6,1119680
42,20190305,00:00:00,1041.0,1048.0,1024.0,1033.4,815080
43,20190306,00:00:00,1035.6,1038.6,1022.2,1029.6,433780
44,20190307,00:00:00,1029.6,1034.0,1019.4,1020.8,365360
45,20190311,00:00:00,1019.2,1026.8,1011.2,1025.8,342630
46,20190312,00:00:00,1026.0,1031.2,1018.0,1021.6,436360
47,20190313,00:00:00,1017.8,1023.6,1013.0,1014.0,571840
48,20190314,00:00:00,1017.2,1019.8,1004.4,1007.8,451870
49,20190315,00:00:00,1008.6,1041.0,1005.2,1036.8,2078400
50,20190318,00:00:00,1034.8,1036.8,1020.2,1034.2,1094610
51,20190319,00:00:00,1034.8,1038.4,1016.4,1019.8,1013280
52,20190320,00:00:00,1021.2,1021.8,1007.0,1013.4,648930
53,20190321,00:00:00,1015.6,1022.2,1011.0,1017.2,595930
54,20190322,00:00:00,1018.0,1019.8,1010.4,1013.6,401570
55,20190325,00:00:00,1012.0,1016.2,1006.8,1008.4,424610
56,20190326,00:00:00,1011.0,1014.8,1008.4,1014.8,275950
57,20190327,00:00:00,1014.8,1016.0,1006.0,1006.0,305420
58,20190328,00:00:00,1006.0,1030.0,1004.4,1027.8,732940
59,20190329,00:00:00,1026.4,1035.8,1022.2,1028.0,752020
60,20190401,00:00:00,1030.0,1038.0,1021.6,1028.2,626150
61,20190402,00:00:00,1031.6,1045.4,1028.4,1041.8,575480
62,20190403,00:00:00,1043.6,1059.8,1043.0,1058.4,749500
63,20190404,00:00:00,1058.0,1058.0,1041.4,1052.0,556220
64,20190405,00:00:00,1053.0,1053.0,1043.2,1043.2,308840
65,20190408,00:00:00,1045.8,1054.0,1043.0,1043.0,410130
66,20190409,00:00:00,1037.2,1050.0,1034.0,1044.0,707550
67,20190410,00:00:00,1046.0,1052.4,1034.4,1034.4,865070
68,20190411,00:00:00,1035.6,1038.6,1022.6,1023.6,461630
69,20190412,00:00:00,1026.8,1048.4,1023.0,1039.2,592810
70,20190415,00:00:00,1039.2,1042.8,1030.6,1038.0,448030
71,20190416,00:00:00,1039.8,1046.6,1034.8,1046.6,520600
72,20190417,00:00:00,1046.6,1053.4,1033.4,1037.0,777960
73,20190418,00:00:00,1037.0,1038.8,1032.0,1035.4,472990
74,20190419,00:00:00,1041.8,1049.8,1041.6,1047.6,204440
75,20190422,00:00:00,1050.0,1055.0,1048.0,1054.0,186480
76,20190423,00:00:00,1052.0,1052.6,1036.0,1040.4,903340
77,20190424,00:00:00,1039.0,1054.0,1035.2,1053.0,567600
78,20190425,00:00:00,1053.0,1058.2,1045.0,1045.0,576720
79,20190426,00:00:00,1045.0,1059.4,1038.6,1059.4,545030
80,20190429,00:00:00,1059.4,1065.8,1055.4,1058.0,364010
81,20190430,00:00:00,1058.2,1060.4,1045.2,1045.2,581930
82,20190502,00:00:00,1049.4,1060.0,1046.6,1053.6,421000
83,20190503,00:00:00,1058.4,1061.2,1049.0,1055.0,850420
84,20190506,00:00:00,1026.6,1034.0,1024.0,1032.6,451660
85,20190507,00:00:00,1032.0,1043.4,1030.4,1034.0,773720
86,20190508,00:00:00,1035.0,1037.4,1028.4,1028.4,429280
87,20190510,00:00:00,1022.8,1030.6,998.6,998.6,1479000
88,20190513,00:00:00,999.8,1006.0,986.4,988.0,780730
89,20190514,00:00:00,993.0,1000.0,980.0,980.0,895040
90,20190515,00:00:00,980.2,988.6,974.4,976.0,736920
91,20190516,00:00:00,978.8,982.0,972.2,972.2,704040
92,20190517,00:00:00,975.0,978.4,967.0,973.2,649520
93,20190520,00:00:00,977.0,992.0,975.8,978.6,717950
94,20190521,00:00:00,985.0,1004.2,980.0,995.8,923230
95,20190522,00:00:00,997.0,1013.8,993.6,1008.4,987910
96,20190523,00:00:00,1007.8,1008.0,992.4,996.0,616470
97,20190524,00:00:00,996.0,1007.8,994.0,998.2,626890
98,20190527,00:00:00,1000.0,1007.0,1000.0,1002.2,162470
99,20190528,00:00:00,1002.4,1029.8,1001.8,1029.8,1600850
100,20190529,00:00:00,1026.6,1039.0,1019.6,1039.0,628780
101,20190530,00:00:00,1039.0,1050.4,1032.8,1048.2,708620
102,20190531,00:00:00,1044.6,1045.0,1026.2,1036.4,679770
103,20190603,00:00:00,1029.6,1042.0,1024.0,1040.0,696040
104,20190604,00:00:00,1039.6,1045.0,1035.0,1043.8,920130
105,20190605,00:00:00,1042.0,1045.8,1030.6,1033.4,382420
106,20190606,00:00:00,1036.4,1052.8,1034.6,1048.8,660930
107,20190607,00:00:00,1050.0,1054.6,1048.6,1050.0,625530
108,20190610,00:00:00,1052.2,1060.0,1050.2,1060.0,484910
109,20190611,00:00:00,1060.0,1084.8,1057.0,1084.8,1043640
110,20190613,00:00:00,1085.0,1109.0,1081.2,1106.0,1227100
111,20190614,00:00:00,1109.6,1121.6,1103.8,1121.0,1462750
112,20190617,00:00:00,1090.2,1096.8,1059.0,1059.6,1392980
113,20190618,00:00:00,1059.0,1082.2,1053.4,1081.4,1031500
114,20190619,00:00:00,1083.0,1093.6,1075.2,1083.8,718190
115,20190620,00:00:00,1090.0,1101.8,1085.4,1099.2,1228410
116,20190621,00:00:00,1095.0,1098.0,1086.4,1097.4,781020
117,20190624,00:00:00,1095.0,1100.0,1078.6,1083.0,466500
118,20190625,00:00:00,1082.0,1095.4,1077.2,1095.4,300100
119,20190626,00:00:00,1098.0,1104.0,1094.0,1094.0,690320
120,20190627,00:00:00,1097.6,1100.8,1086.2,1087.6,437570
121,20190628,00:00:00,1080.0,1080.0,1065.0,1067.6,714760
122,20190701,00:00:00,1071.0,1085.0,1070.8,1070.8,641540
123,20190702,00:00:00,1070.0,1082.0,1066.2,1075.0,829570
124,20190703,00:00:00,1075.8,1080.8,1068.0,1078.4,605220
125,20190704,00:00:00,1078.0,1078.4,1057.8,1065.0,568440
126,20190705,00:00:00,1065.6,1066.4,1048.4,1051.8,605350
127,20190708,00:00:00,1048.2,1066.8,1044.0,1066.0,602860
128,20190709,00:00:00,1064.4,1074.4,1061.0,1071.4,422960
129,20190710,00:00:00,1071.4,1080.4,1059.4,1079.4,699810
130,20190711,00:00:00,1079.0,1079.4,1048.0,1054.2,744570
131,20190712,00:00:00,1055.0,1058.2,1038.0,1044.4,761730
132,20190715,00:00:00,1050.0,1054.8,1040.6,1043.6,420440
133,20190716,00:00:00,1047.6,1056.2,1043.8,1049.4,607930
134,20190717,00:00:00,1052.0,1054.8,1046.2,1054.6,274270
135,20190718,00:00:00,1052.0,1073.0,1049.2,1063.8,865370
136,20190719,00:00:00,1063.0,1069.4,1042.2,1043.4,590330
137,20190722,00:00:00,1048.2,1059.6,1040.2,1056.0,352550
138,20190723,00:00:00,1056.8,1061.6,1045.4,1051.0,458290
139,20190724,00:00:00,1051.0,1051.8,1032.8,1033.8,573250
140,20190725,00:00:00,1038.6,1050.0,1031.2,1038.8,691850
141,20190726,00:00:00,1039.0,1040.6,1025.2,1026.8,544460
142,20190729,00:00:00,1029.6,1032.0,1022.4,1029.0,264570
143,20190730,00:00:00,1032.0,1036.4,1020.2,1024.0,549480
144,20190731,00:00:00,1022.0,1029.6,1018.4,1028.8,398120
145,20190801,00:00:00,1025.0,1028.0,1016.0,1019.0,341630
146,20190802,00:00:00,1014.0,1050.0,1000.4,1000.4,922050
147,20190805,00:00:00,1002.2,1011.0,990.2,992.0,1290410
148,20190806,00:00:00,996.0,1000.2,986.2,989.0,1481200
149,20190807,00:00:00,992.6,996.8,984.2,987.2,818910
150,20190808,00:00:00,993.8,995.4,989.2,989.2,605390
151,20190809,00:00:00,990.6,992.8,970.6,970.6,1133250
152,20190812,00:00:00,969.8,977.6,968.8,969.6,689400
153,20190813,00:00:00,969.6,971.4,951.0,954.0,1138560
154,20190814,00:00:00,957.0,959.6,938.6,947.4,1392230
155,20190815,00:00:00,950.0,959.4,939.0,943.0,1039950
156,20190816,00:00:00,949.0,949.6,926.8,928.4,791620
157,20190819,00:00:00,933.4,952.0,926.0,946.0,1244860
158,20190820,00:00:00,947.0,964.0,947.0,957.4,1083940
159,20190821,00:00:00,960.0,962.4,951.8,954.2,494950
160,20190822,00:00:00,954.0,956.2,941.2,944.0,713750
161,20190823,00:00:00,946.4,951.8,942.4,946.0,618620
162,20190826,00:00:00,941.6,951.8,937.2,947.0,399820
163,20190827,00:00:00,949.4,953.0,941.4,953.0,1068490
164,20190828,00:00:00,952.6,962.6,950.2,958.8,1058090
165,20190829,00:00:00,959.6,980.4,958.0,979.0,926030
166,20190830,00:00:00,980.0,1002.8,979.6,1002.8,1289107
167,20190902,00:00:00,1001.2,1008.8,993.0,1003.0,868398
168,20190903,00:00:00,1003.0,1005.0,982.4,990.6,1090838
