,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,20210104,10:00:00,126.14,126.58,124.6,125.76,14419
1,20210104,11:00:00,125.76,127.16,125.76,126.46,60089
2,20210104,12:00:00,126.48,126.58,125.5,125.62,34781
3,20210104,13:00:00,125.82,126.5,125.6,126.46,16686
4,20210104,14:00:00,126.42,127.88,126.42,127.58,68268
5,20210104,15:00:00,127.58,127.66,127.5,127.54,16135
6,20210104,16:00:00,127.5,127.58,127.5,127.56,9106
7,20210104,17:00:00,127.52,127.56,127.5,127.54,6541
8,20210104,18:00:00,127.54,127.54,127.5,127.52,12664
9,20210105,10:00:00,127.48,128.92,125.98,127.96,61590
10,20210105,11:00:00,127.96,128.74,126.54,128.7,24096
11,20210105,12:00:00,128.58,129.5,128.54,129.32,22382
12,20210105,13:00:00,129.3,129.32,129.0,129.0,13931
13,20210105,14:00:00,129.02,129.18,129.0,129.12,9639
14,20210105,15:00:00,129.02,129.14,129.0,129.12,8951
15,20210105,16:00:00,129.02,129.14,129.0,129.0,2364
16,20210105,17:00:00,129.08,129.08,129.0,129.02,2428
17,20210105,18:00:00,129.0,129.02,127.78,128.5,20797
18,20210106,10:00:00,127.9,129.4,127.9,129.22,14320
19,20210106,11:00:00,129.1,129.22,129.0,129.02,65808
20,20210106,12:00:00,129.02,129.24,129.0,129.08,28398
21,20210106,13:00:00,129.08,129.08,129.0,129.0,2497
22,20210106,14:00:00,129.06,129.24,129.0,129.24,28819
23,20210106,15:00:00,129.26,129.96,128.88,129.96,50206
24,20210106,16:00:00,129.96,129.98,129.36,129.9,18120
25,20210106,17:00:00,129.9,129.98,129.54,129.76,35792
26,20210106,18:00:00,129.7,129.94,129.66,129.84,26306
27,20210108,10:00:00,129.2,130.0,128.26,129.5,18352
28,20210108,11:00:00,129.52,130.0,129.5,129.52,27128
29,20210108,12:00:00,129.52,129.82,129.5,129.82,39730
30,20210108,13:00:00,129.82,130.0,129.5,129.54,94625
31,20210108,14:00:00,129.6,130.0,129.16,129.54,22233
32,20210108,15:00:00,129.56,130.46,129.44,130.06,64616
33,20210108,16:00:00,130.06,130.2,130.0,130.02,26865
34,20210108,17:00:00,130.08,131.22,130.02,131.04,60262
35,20210108,18:00:00,131.04,131.3,131.02,131.24,14387
36,20210111,10:00:00,131.0,131.18,129.5,130.2,15262
37,20210111,11:00:00,130.28,130.34,129.76,129.92,20663
38,20210111,12:00:00,129.92,130.5,129.88,130.48,26730
39,20210111,13:00:00,130.48,131.24,130.38,131.24,39020
40,20210111,14:00:00,131.2,131.6,131.0,131.0,44185
41,20210111,15:00:00,131.0,131.78,131.0,131.38,23511
42,20210111,16:00:00,131.36,131.44,131.0,131.2,27514
43,20210111,17:00:00,131.2,132.2,131.0,131.32,38538
44,20210111,18:00:00,131.24,131.5,131.04,131.14,18795
45,20210112,10:00:00,130.54,130.84,130.0,130.14,21651
46,20210112,11:00:00,130.24,130.76,130.02,130.18,6964
47,20210112,12:00:00,130.2,130.44,130.14,130.28,16116
48,20210112,13:00:00,130.28,130.9,130.1,130.7,27891
49,20210112,14:00:00,130.46,130.76,130.46,130.5,11483
50,20210112,15:00:00,130.5,130.62,130.5,130.56,43123
51,20210112,16:00:00,130.54,130.56,130.18,130.2,35522
52,20210112,17:00:00,130.22,130.52,130.0,130.16,15706
53,20210112,18:00:00,130.16,130.16,129.0,129.3,25009
54,20210113,10:00:00,129.14,129.84,126.32,127.7,214092
55,20210113,11:00:00,127.92,128.5,127.8,128.24,31797
56,20210113,12:00:00,128.32,128.86,128.04,128.74,46818
57,20210113,13:00:00,128.68,129.0,128.34,128.64,17322
58,20210113,14:00:00,128.64,129.5,128.6,128.9,20474
59,20210113,15:00:00,128.82,128.98,128.62,128.88,4498
60,20210113,16:00:00,128.88,128.88,128.18,128.24,13684
61,20210113,17:00:00,128.24,129.5,128.22,129.36,35043
62,20210113,18:00:00,129.38,129.54,128.76,129.44,23896
63,20210114,10:00:00,129.88,129.9,128.02,128.36,6571
64,20210114,11:00:00,128.32,128.78,128.2,128.44,13185
65,20210114,12:00:00,128.46,128.74,128.12,128.22,5167
66,20210114,13:00:00,128.14,128.62,128.1,128.46,13178
67,20210114,14:00:00,128.46,128.46,128.22,128.38,4357
68,20210114,15:00:00,128.38,128.74,128.26,128.46,14799
69,20210114,16:00:00,128.46,129.44,128.26,129.36,25250
70,20210114,17:00:00,129.28,129.66,129.1,129.14,23506
71,20210114,18:00:00,129.2,129.3,129.12,129.28,6942
72,20210115,10:00:00,129.28,130.5,128.2,130.0,94941
73,20210115,11:00:00,130.02,130.24,129.7,129.76,21817
74,20210115,12:00:00,129.98,130.1,129.14,129.94,18215
75,20210115,13:00:00,129.98,130.1,129.58,130.02,6848
76,20210115,14:00:00,130.1,130.1,129.78,129.88,4778
77,20210115,15:00:00,129.88,129.88,129.46,129.58,16052
78,20210115,16:00:00,129.58,129.96,129.48,129.88,7687
79,20210115,17:00:00,129.88,130.0,129.5,129.72,6714
80,20210115,18:00:00,129.64,129.92,129.32,129.32,6241
81,20210118,10:00:00,129.38,129.94,127.34,129.64,11573
82,20210118,11:00:00,129.64,130.0,129.62,129.92,16746
83,20210118,12:00:00,129.9,130.2,129.62,130.08,11826
84,20210118,13:00:00,129.98,130.1,129.6,129.7,7343
85,20210118,14:00:00,129.72,130.18,129.64,130.18,15524
86,20210118,15:00:00,130.16,130.2,129.92,130.16,4758
87,20210118,16:00:00,130.16,130.5,130.16,130.5,19737
88,20210118,17:00:00,130.38,130.5,130.14,130.44,3491
89,20210118,18:00:00,130.44,130.5,130.06,130.2,4095
90,20210119,10:00:00,130.0,132.9,130.0,132.58,91930
91,20210119,11:00:00,132.4,132.78,131.52,131.7,44562
92,20210119,12:00:00,131.68,131.94,131.6,131.7,14309
93,20210119,13:00:00,131.72,131.72,131.16,131.52,9835
94,20210119,14:00:00,131.38,132.0,131.36,131.82,32641
95,20210119,15:00:00,131.82,131.84,131.54,131.72,5601
96,20210119,16:00:00,131.68,132.98,131.62,132.26,108368
97,20210119,17:00:00,132.0,132.96,131.76,131.96,59169
98,20210119,18:00:00,131.96,132.04,131.48,131.72,24155
99,20210120,10:00:00,132.1,132.62,131.84,132.16,18013
100,20210120,11:00:00,132.14,132.18,128.68,130.86,68226
101,20210120,12:00:00,130.88,131.96,130.3,131.52,17043
102,20210120,13:00:00,131.58,131.96,131.48,131.54,4441
103,20210120,14:00:00,131.58,131.96,131.54,131.86,4061
104,20210120,15:00:00,131.86,132.44,131.64,131.7,20733
105,20210120,16:00:00,131.7,132.52,131.02,132.38,82101
106,20210120,17:00:00,132.32,132.9,132.32,132.34,35349
