,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,20210104,10:00:00,5232.0,5252.0,5206.0,5244.0,184576
1,20210104,11:00:00,5244.0,5273.5,5227.5,5268.0,117414
2,20210104,12:00:00,5269.0,5274.5,5248.0,5255.5,54578
3,20210104,13:00:00,5256.0,5262.0,5237.0,5240.0,39899
4,20210104,14:00:00,5240.0,5245.0,5225.5,5238.0,40555
5,20210104,15:00:00,5239.0,5240.5,5216.0,5228.0,39090
6,20210104,16:00:00,5226.5,5255.5,5225.0,5245.5,61067
7,20210104,17:00:00,5246.5,5249.5,5230.0,5243.5,59051
8,20210104,18:00:00,5246.0,5248.0,5227.5,5243.5,72537
9,20210104,19:00:00,5236.0,5236.0,5200.5,5209.0,39297
10,20210104,20:00:00,5208.0,5215.0,5186.5,5204.5,26288
11,20210104,21:00:00,5203.5,5224.5,5203.0,5219.0,13147
12,20210104,22:00:00,5220.5,5222.0,5210.5,5217.0,6076
13,20210104,23:00:00,5216.5,5218.5,5206.5,5212.5,19451
14,20210105,10:00:00,5210.0,5232.0,5184.0,5193.5,95872
15,20210105,11:00:00,5196.5,5247.0,5180.0,5245.5,113200
16,20210105,12:00:00,5244.5,5263.5,5236.5,5252.0,74731
17,20210105,13:00:00,5254.0,5260.0,5239.0,5246.5,42832
18,20210105,14:00:00,5246.5,5252.0,5230.0,5233.5,58936
19,20210105,15:00:00,5234.0,5250.5,5229.5,5249.5,50523
20,20210105,16:00:00,5250.0,5253.0,5241.0,5245.0,46651
21,20210105,17:00:00,5244.5,5307.0,5239.5,5307.0,238001
22,20210105,18:00:00,5307.0,5336.0,5300.0,5311.0,258467
23,20210105,19:00:00,5325.5,5355.5,5294.5,5333.5,102213
24,20210105,20:00:00,5334.0,5345.0,5333.0,5342.0,25670
25,20210105,21:00:00,5340.5,5353.5,5340.5,5353.0,32659
26,20210105,22:00:00,5353.0,5353.5,5349.0,5349.5,14409
27,20210105,23:00:00,5349.5,5359.0,5346.0,5358.5,23961
28,20210106,10:00:00,5375.0,5396.0,5344.5,5351.0,161117
29,20210106,11:00:00,5351.0,5383.5,5310.0,5317.0,213469
30,20210106,12:00:00,5317.0,5349.0,5304.0,5349.0,84195
31,20210106,13:00:00,5349.0,5401.0,5345.5,5377.0,227148
32,20210106,14:00:00,5377.0,5393.5,5363.0,5378.5,65824
33,20210106,15:00:00,5376.0,5389.5,5352.0,5353.0,96309
34,20210106,16:00:00,5352.5,5384.0,5350.0,5377.5,113974
35,20210106,17:00:00,5378.0,5395.0,5372.0,5384.0,177507
36,20210106,18:00:00,5384.0,5395.0,5377.0,5395.0,126596
37,20210106,19:00:00,5395.0,5398.0,5381.5,5382.5,17710
38,20210106,20:00:00,5382.5,5388.5,5374.5,5386.5,13968
39,20210106,21:00:00,5386.5,5399.5,5385.0,5399.0,24080
40,20210106,22:00:00,5399.0,5400.0,5366.5,5373.0,46253
41,20210106,23:00:00,5373.5,5380.5,5367.5,5376.5,25321
42,20210108,10:00:00,5439.5,5504.0,5425.0,5495.5,367934
43,20210108,11:00:00,5495.5,5530.0,5484.0,5496.0,233077
44,20210108,12:00:00,5496.0,5508.0,5480.5,5483.5,136297
45,20210108,13:00:00,5483.5,5490.5,5474.0,5482.5,100539
46,20210108,14:00:00,5482.5,5505.0,5469.0,5503.0,121371
47,20210108,15:00:00,5503.0,5523.5,5498.5,5504.5,152654
48,20210108,16:00:00,5504.5,5538.5,5504.5,5537.0,248153
49,20210108,17:00:00,5537.0,5554.0,5527.0,5540.0,221923
50,20210108,18:00:00,5540.0,5555.0,5521.0,5521.0,356830
51,20210108,19:00:00,5527.0,5533.0,5520.5,5524.5,30476
52,20210108,20:00:00,5524.0,5529.5,5521.0,5526.5,9970
53,20210108,21:00:00,5528.5,5532.0,5520.0,5527.0,24166
54,20210108,22:00:00,5529.5,5551.0,5526.0,5546.5,31866
55,20210108,23:00:00,5546.5,5557.5,5546.0,5556.5,27261
56,20210111,10:00:00,5510.5,5514.0,5451.0,5510.5,237089
57,20210111,11:00:00,5510.0,5628.5,5507.5,5624.5,339239
58,20210111,12:00:00,5624.5,5639.0,5568.0,5588.5,213372
59,20210111,13:00:00,5587.0,5605.0,5572.5,5599.5,120674
60,20210111,14:00:00,5598.5,5602.5,5578.0,5578.0,84183
61,20210111,15:00:00,5578.0,5598.5,5575.0,5594.5,120840
62,20210111,16:00:00,5594.5,5594.5,5533.5,5566.5,430725
63,20210111,17:00:00,5566.5,5605.0,5544.5,5604.0,260500
64,20210111,18:00:00,5604.5,5611.5,5591.5,5600.0,166703
65,20210111,19:00:00,5600.0,5615.5,5582.0,5599.5,29168
66,20210111,20:00:00,5599.5,5600.0,5592.0,5596.5,8988
67,20210111,21:00:00,5596.5,5600.0,5585.0,5595.5,12757
68,20210111,22:00:00,5596.0,5600.0,5591.0,5595.0,8270
69,20210111,23:00:00,5597.0,5601.5,5593.0,5599.0,13434
70,20210112,10:00:00,5618.0,5695.0,5615.0,5667.0,292630
71,20210112,11:00:00,5667.0,5699.5,5651.5,5682.5,208460
