,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,20191209,00:00:00,53100.0,53100.0,53100.0,53100.0,1
1,20191216,00:00:00,53300.0,53300.0,53300.0,53300.0,2
2,20191217,00:00:00,53300.0,53300.0,53300.0,53300.0,10
3,20191219,00:00:00,53250.0,53400.0,53250.0,53400.0,3
4,20191220,00:00:00,53400.0,53400.0,53400.0,53400.0,2
5,20191223,00:00:00,53200.0,53200.0,53200.0,53200.0,1
6,20191226,00:00:00,53550.0,53550.0,53550.0,53550.0,3
7,20191230,00:00:00,53750.0,53750.0,53750.0,53750.0,29
8,20200110,00:00:00,53650.0,53650.0,53650.0,53650.0,3
9,20200114,00:00:00,54150.0,54150.0,54150.0,54150.0,1
10,20200116,00:00:00,54000.0,54150.0,54000.0,54150.0,4
11,20200117,00:00:00,54150.0,54150.0,54150.0,54150.0,1
12,20200120,00:00:00,54230.0,54230.0,54230.0,54230.0,3
13,20200121,00:00:00,54150.0,54250.0,54150.0,54150.0,4
14,20200124,00:00:00,54300.0,54300.0,54300.0,54300.0,1
15,20200127,00:00:00,54400.0,54400.0,54400.0,54400.0,1
16,20200128,00:00:00,54050.0,54050.0,54050.0,54050.0,2
17,20200129,00:00:00,54350.0,54350.0,54350.0,54350.0,1
18,20200130,00:00:00,54350.0,54350.0,54350.0,54350.0,2
19,20200131,00:00:00,54350.0,54350.0,54350.0,54350.0,1
20,20200203,00:00:00,54350.0,54350.0,54350.0,54350.0,1
21,20200204,00:00:00,54310.0,54310.0,54310.0,54310.0,2
22,20200205,00:00:00,54440.0,54440.0,54440.0,54440.0,1
23,20200207,00:00:00,54520.0,54520.0,54520.0,54520.0,1
24,20200210,00:00:00,54620.0,54620.0,54620.0,54620.0,1
25,20200211,00:00:00,54680.0,54680.0,54560.0,54560.0,55
26,20200212,00:00:00,54560.0,54680.0,54560.0,54680.0,5
27,20200214,00:00:00,54820.0,54820.0,54820.0,54820.0,10
28,20200217,00:00:00,55100.0,55100.0,55100.0,55100.0,4
29,20200218,00:00:00,55100.0,55100.0,54840.0,54840.0,7
30,20200219,00:00:00,54840.0,54840.0,54840.0,54840.0,2
31,20200220,00:00:00,54840.0,54840.0,54730.0,54840.0,5
32,20200221,00:00:00,55000.0,55000.0,55000.0,55000.0,9
33,20200225,00:00:00,55000.0,55000.0,55000.0,55000.0,2
34,20200226,00:00:00,54940.0,54940.0,54880.0,54940.0,7
35,20200228,00:00:00,54400.0,54540.0,54400.0,54540.0,8
36,20200302,00:00:00,54280.0,54280.0,54280.0,54280.0,3
37,20200303,00:00:00,54160.0,54160.0,54160.0,54160.0,1
38,20200306,00:00:00,54560.0,54560.0,54560.0,54560.0,4
39,20200310,00:00:00,53040.0,53040.0,53040.0,53040.0,1
40,20200311,00:00:00,53000.0,53000.0,52900.0,52900.0,5
41,20200312,00:00:00,52900.0,52900.0,52900.0,52900.0,5
42,20200316,00:00:00,52080.0,52080.0,52080.0,52080.0,1
43,20200324,00:00:00,52100.0,52100.0,52100.0,52100.0,2
44,20200325,00:00:00,52440.0,52440.0,52300.0,52300.0,2
45,20200327,00:00:00,52340.0,52340.0,52340.0,52340.0,1
46,20200330,00:00:00,52240.0,52240.0,52240.0,52240.0,1
47,20200331,00:00:00,52240.0,52240.0,52240.0,52240.0,1
48,20200401,00:00:00,52560.0,52560.0,52560.0,52560.0,1
49,20200403,00:00:00,52990.0,53020.0,52990.0,53020.0,7
50,20200409,00:00:00,53540.0,53540.0,53540.0,53540.0,2
51,20200413,00:00:00,53740.0,53740.0,53740.0,53740.0,1
52,20200414,00:00:00,53960.0,53960.0,53960.0,53960.0,70
53,20200416,00:00:00,53580.0,53580.0,53580.0,53580.0,1
54,20200424,00:00:00,54800.0,54800.0,54660.0,54660.0,20
55,20200427,00:00:00,54820.0,54820.0,54820.0,54820.0,3
56,20200428,00:00:00,54980.0,54980.0,54980.0,54980.0,15
57,20200429,00:00:00,55140.0,55140.0,55140.0,55140.0,4
58,20200430,00:00:00,55160.0,55160.0,55160.0,55160.0,5
59,20200506,00:00:00,55350.0,55350.0,55350.0,55350.0,8
60,20200508,00:00:00,55500.0,55500.0,55500.0,55500.0,43
61,20200512,00:00:00,55500.0,55500.0,55500.0,55500.0,11
62,20200513,00:00:00,55600.0,55600.0,55600.0,55600.0,9
63,20200514,00:00:00,55600.0,55600.0,55600.0,55600.0,2
64,20200515,00:00:00,55650.0,55650.0,55650.0,55650.0,2
65,20200518,00:00:00,55700.0,55700.0,55700.0,55700.0,1
66,20200519,00:00:00,56100.0,56100.0,56100.0,56100.0,3
67,20200520,00:00:00,56400.0,56400.0,56300.0,56400.0,5
68,20200521,00:00:00,56200.0,56200.0,56200.0,56200.0,61
69,20200522,00:00:00,56500.0,56500.0,56500.0,56500.0,36
70,20200525,00:00:00,56500.0,56500.0,56500.0,56500.0,1
