,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,20210104,10:00:00,0.0677,0.06855,0.0677,0.06855,15620000
1,20210104,11:00:00,0.06855,0.0691,0.06815,0.069,22390000
2,20210104,12:00:00,0.069,0.06955,0.0687,0.06955,15340000
3,20210104,13:00:00,0.0694,0.06955,0.069,0.0691,15830000
4,20210104,14:00:00,0.0691,0.0691,0.069,0.06905,9920000
5,20210104,15:00:00,0.0691,0.06915,0.069,0.069,2350000
6,20210104,16:00:00,0.0691,0.07015,0.069,0.0701,59590000
7,20210104,17:00:00,0.07,0.0701,0.07,0.07005,12770000
8,20210104,18:00:00,0.0701,0.0701,0.06935,0.06935,8380000
9,20210105,10:00:00,0.06915,0.06965,0.06835,0.0694,11640000
10,20210105,11:00:00,0.06935,0.0695,0.069,0.06915,16090000
11,20210105,12:00:00,0.0691,0.06935,0.069,0.06935,6130000
12,20210105,13:00:00,0.06935,0.06935,0.069,0.069,2890000
13,20210105,14:00:00,0.06925,0.06925,0.06905,0.0692,2060000
14,20210105,15:00:00,0.06915,0.06915,0.0691,0.06915,2000000
15,20210105,16:00:00,0.06915,0.0692,0.0691,0.06915,450000
16,20210105,17:00:00,0.0692,0.0696,0.06915,0.0696,4100000
17,20210105,18:00:00,0.06935,0.0699,0.06935,0.0694,3910000
18,20210106,10:00:00,0.0693,0.0699,0.0692,0.0697,2700000
19,20210106,11:00:00,0.0696,0.0696,0.0692,0.06935,1690000
20,20210106,12:00:00,0.0693,0.0693,0.06915,0.0692,2570000
21,20210106,13:00:00,0.06915,0.0693,0.06915,0.0692,8090000
22,20210106,14:00:00,0.0693,0.0693,0.0692,0.0692,1700000
23,20210106,15:00:00,0.06925,0.0694,0.0692,0.0694,32880000
24,20210106,16:00:00,0.0694,0.071,0.06935,0.07045,29160000
25,20210106,17:00:00,0.07045,0.07045,0.0698,0.0699,9100000
26,20210106,18:00:00,0.0699,0.07,0.06985,0.07,5480000
27,20210108,10:00:00,0.07025,0.07065,0.0688,0.07,13130000
28,20210108,11:00:00,0.07,0.07015,0.06975,0.0701,8680000
29,20210108,12:00:00,0.0701,0.07035,0.0695,0.07015,21330000
30,20210108,13:00:00,0.07015,0.07025,0.0697,0.0697,3650000
31,20210108,14:00:00,0.0697,0.0699,0.06965,0.06985,4980000
32,20210108,15:00:00,0.06985,0.07,0.06975,0.0699,10340000
33,20210108,16:00:00,0.0699,0.07,0.06985,0.0699,2990000
34,20210108,17:00:00,0.06985,0.07,0.06985,0.06995,2800000
35,20210108,18:00:00,0.06995,0.0701,0.0699,0.07005,14810000
36,20210111,10:00:00,0.0698,0.0698,0.069,0.0697,16310000
37,20210111,11:00:00,0.0697,0.0699,0.0697,0.0697,2580000
38,20210111,12:00:00,0.06985,0.07,0.06985,0.06985,14630000
39,20210111,13:00:00,0.06985,0.07,0.06985,0.06995,10630000
40,20210111,14:00:00,0.06995,0.07,0.06975,0.0699,3890000
41,20210111,15:00:00,0.0699,0.07,0.0691,0.06985,12650000
42,20210111,16:00:00,0.0699,0.06995,0.0698,0.0698,3080000
43,20210111,17:00:00,0.0698,0.0699,0.06955,0.06975,6690000
44,20210111,18:00:00,0.06985,0.0699,0.0696,0.0698,3750000
45,20210112,10:00:00,0.06985,0.07005,0.06965,0.0699,16040000
46,20210112,11:00:00,0.0699,0.07,0.06975,0.06975,5270000
47,20210112,12:00:00,0.06975,0.06985,0.0695,0.0697,6970000
48,20210112,13:00:00,0.0698,0.0699,0.0696,0.0698,7790000
49,20210112,14:00:00,0.0698,0.0698,0.0695,0.0695,12240000
50,20210112,15:00:00,0.0697,0.06975,0.06955,0.0696,2110000
51,20210112,16:00:00,0.0696,0.0698,0.0695,0.06965,7050000
52,20210112,17:00:00,0.06955,0.06955,0.0693,0.0693,4600000
53,20210112,18:00:00,0.0693,0.06935,0.0691,0.06925,6830000
54,20210113,10:00:00,0.0695,0.07015,0.0691,0.0691,11040000
55,20210113,11:00:00,0.0692,0.0694,0.06895,0.0694,18060000
56,20210113,12:00:00,0.069,0.0693,0.06865,0.069,10490000
57,20210113,13:00:00,0.06895,0.06925,0.06895,0.06925,3790000
58,20210113,14:00:00,0.0692,0.0693,0.06905,0.06925,2680000
59,20210113,15:00:00,0.06925,0.06925,0.0687,0.0687,13730000
60,20210113,16:00:00,0.06875,0.06895,0.0687,0.0689,540000
61,20210113,17:00:00,0.06885,0.06895,0.06865,0.0687,1680000
62,20210113,18:00:00,0.0686,0.06885,0.0686,0.0686,2010000
63,20210114,10:00:00,0.0686,0.06885,0.0685,0.06865,4940000
64,20210114,11:00:00,0.0686,0.06885,0.0685,0.06885,5330000
65,20210114,12:00:00,0.0689,0.0689,0.0686,0.0686,860000
66,20210114,13:00:00,0.06865,0.0688,0.0685,0.0687,10530000
67,20210114,14:00:00,0.0687,0.0688,0.06855,0.06855,8150000
68,20210114,15:00:00,0.06865,0.0687,0.0685,0.0687,4330000
69,20210114,16:00:00,0.0686,0.06875,0.0685,0.06875,9800000
70,20210114,17:00:00,0.0687,0.0688,0.0684,0.06855,6910000
71,20210114,18:00:00,0.06865,0.0688,0.06865,0.06865,3360000
72,20210115,10:00:00,0.0685,0.0692,0.0685,0.06905,14250000
