,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,20200103,00:00:00,1265.0,1271.0,1260.6,1264.0,407692
1,20200106,00:00:00,1267.4,1272.0,1256.8,1271.0,252964
2,20200108,00:00:00,1281.0,1329.0,1276.2,1325.4,1232591
3,20200109,00:00:00,1325.2,1345.0,1310.4,1339.4,753605
4,20200110,00:00:00,1338.4,1339.6,1303.8,1306.8,638980
5,20200113,00:00:00,1314.8,1314.8,1295.0,1305.6,622810
6,20200114,00:00:00,1310.0,1317.4,1258.0,1259.0,1678738
7,20200115,00:00:00,1258.6,1272.0,1251.8,1260.0,1260389
8,20200116,00:00:00,1263.8,1274.0,1260.2,1264.0,748251
9,20200117,00:00:00,1263.0,1279.6,1255.4,1255.4,1151302
10,20200120,00:00:00,1255.8,1267.0,1241.6,1243.0,1084088
11,20200121,00:00:00,1243.4,1247.6,1211.4,1242.0,1069589
12,20200122,00:00:00,1243.4,1249.8,1185.2,1196.8,2010179
13,20200123,00:00:00,1201.0,1233.6,1198.0,1212.4,1496872
14,20200124,00:00:00,1214.0,1219.2,1193.0,1202.0,950942
15,20200127,00:00:00,1194.0,1207.4,1172.0,1176.6,1240515
16,20200128,00:00:00,1178.2,1185.8,1156.2,1168.2,1021242
17,20200129,00:00:00,1169.4,1202.0,1161.0,1199.0,1546864
18,20200130,00:00:00,1192.2,1202.8,1185.8,1193.6,962770
19,20200131,00:00:00,1196.0,1199.8,1154.2,1155.6,2059966
20,20200203,00:00:00,1150.0,1166.0,1128.2,1140.0,1336880
21,20200204,00:00:00,1139.2,1154.0,1122.2,1143.6,1152781
22,20200205,00:00:00,1143.0,1170.4,1129.2,1153.8,1842972
23,20200206,00:00:00,1158.4,1165.0,1092.0,1097.6,2480123
24,20200207,00:00:00,1098.2,1108.8,1059.0,1072.0,2480408
25,20200210,00:00:00,1073.4,1087.2,1046.0,1047.2,2333297
26,20200211,00:00:00,1052.2,1067.0,1037.4,1060.0,2406596
27,20200212,00:00:00,1062.2,1065.0,1043.0,1050.0,2291668
28,20200213,00:00:00,1051.0,1075.6,1049.6,1054.0,1864159
29,20200214,00:00:00,1055.0,1071.0,1048.0,1051.4,1476574
30,20200217,00:00:00,1059.6,1101.8,1051.4,1092.0,3446080
31,20200218,00:00:00,1099.0,1117.0,1082.2,1094.4,2984558
32,20200219,00:00:00,1100.2,1122.0,1063.0,1117.0,3316332
33,20200220,00:00:00,1120.8,1138.6,1100.6,1106.4,3399994
34,20200221,00:00:00,1093.8,1116.6,1080.4,1094.2,2707371
35,20200225,00:00:00,1060.0,1082.8,1045.4,1048.0,2257132
36,20200226,00:00:00,1049.2,1049.4,1002.2,1039.6,4167839
37,20200227,00:00:00,1019.0,1028.0,988.6,998.4,2665597
38,20200228,00:00:00,972.0,989.8,906.2,964.8,5685037
39,20200302,00:00:00,984.8,1005.0,946.6,997.2,4505883
40,20200303,00:00:00,1012.0,1021.8,992.0,1007.6,2057148
41,20200304,00:00:00,992.2,1005.8,984.0,998.0,1440028
42,20200305,00:00:00,1005.4,1011.0,971.4,988.0,1852957
43,20200306,00:00:00,975.4,977.6,901.0,964.8,3639844
44,20200310,00:00:00,865.2,980.8,808.8,963.0,7546138
45,20200311,00:00:00,967.2,973.4,908.0,916.6,2944631
46,20200312,00:00:00,888.0,889.0,788.8,801.0,4156463
