,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,20210104,10:00:00,766.0,779.0,762.5,770.5,48682
1,20210104,11:00:00,770.5,774.0,770.5,773.5,21194
2,20210104,12:00:00,773.5,777.0,771.0,775.5,26416
3,20210104,13:00:00,776.0,777.5,774.5,776.0,16752
4,20210104,14:00:00,776.5,777.0,773.5,776.0,18420
5,20210104,15:00:00,775.5,776.0,770.0,772.0,28394
6,20210104,16:00:00,772.5,774.5,765.5,770.0,35178
7,20210104,17:00:00,769.5,772.0,761.5,766.5,52379
8,20210104,18:00:00,766.0,767.5,764.0,764.0,43685
9,20210104,19:00:00,762.0,766.0,759.0,764.5,28204
10,20210104,20:00:00,764.5,765.0,761.0,762.5,15137
11,20210104,21:00:00,763.0,766.5,762.5,765.5,12622
12,20210104,22:00:00,766.5,766.5,763.5,765.5,5755
13,20210104,23:00:00,765.0,766.0,763.0,766.0,6535
14,20210105,10:00:00,766.5,769.5,763.0,765.5,18809
15,20210105,11:00:00,765.5,768.0,765.0,767.5,8073
16,20210105,12:00:00,767.5,771.0,767.0,771.0,26248
17,20210105,13:00:00,770.0,771.5,770.0,771.0,9064
18,20210105,14:00:00,771.0,773.0,770.0,771.5,8333
19,20210105,15:00:00,771.5,772.0,770.0,771.0,12960
20,20210105,16:00:00,771.5,771.5,769.5,770.5,9053
21,20210105,17:00:00,771.0,775.0,770.0,774.5,19139
22,20210105,18:00:00,774.5,775.0,772.0,773.5,17120
23,20210105,19:00:00,775.0,776.5,772.0,774.0,9647
24,20210105,20:00:00,773.5,775.0,771.0,771.0,13856
25,20210105,21:00:00,772.5,774.5,771.0,772.5,16694
26,20210105,22:00:00,773.5,782.5,771.5,779.0,36438
27,20210105,23:00:00,779.0,780.0,777.0,779.0,10172
28,20210106,10:00:00,777.0,785.0,777.0,783.5,53850
29,20210106,11:00:00,783.5,784.0,778.0,780.0,24371
30,20210106,12:00:00,779.0,783.5,778.0,782.5,14911
