,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,20190103,00:00:00,737.9,737.9,715.7,731.8,1189570
1,20190104,00:00:00,734.2,737.7,726.2,737.7,1026610
2,20190108,00:00:00,715.8,724.0,708.1,723.2,1682220
3,20190109,00:00:00,722.2,723.8,710.1,717.9,1250860
4,20190110,00:00:00,718.2,733.0,712.1,732.6,1566140
5,20190111,00:00:00,732.0,732.0,721.3,730.3,1411380
6,20190114,00:00:00,728.2,728.6,719.3,725.0,1088030
7,20190115,00:00:00,726.0,731.9,719.1,721.0,1526180
8,20190116,00:00:00,720.0,728.5,718.6,722.0,1637560
9,20190117,00:00:00,724.4,735.1,716.5,734.1,1991860
10,20190118,00:00:00,733.8,742.9,729.1,741.0,1283910
11,20190121,00:00:00,738.0,742.4,732.6,735.4,691020
12,20190122,00:00:00,732.7,751.9,728.7,750.5,1713780
13,20190123,00:00:00,748.1,784.3,746.3,784.0,2071460
14,20190124,00:00:00,782.9,783.0,765.3,772.9,1467320
15,20190125,00:00:00,775.9,798.9,770.0,798.9,1329960
16,20190128,00:00:00,796.4,805.0,785.9,791.4,1623570
17,20190129,00:00:00,791.0,799.8,781.0,798.8,1322280
18,20190130,00:00:00,797.1,806.9,792.2,806.9,1255970
19,20190131,00:00:00,811.0,814.9,801.9,806.9,2037460
20,20190201,00:00:00,805.2,815.0,801.4,808.1,1336790
21,20190204,00:00:00,807.1,808.8,802.1,803.2,895990
22,20190205,00:00:00,805.2,814.0,803.1,810.0,647890
23,20190206,00:00:00,807.9,811.0,798.5,804.0,945360
24,20190207,00:00:00,802.0,809.4,795.0,804.7,1004840
25,20190208,00:00:00,800.9,802.3,786.0,787.3,963560
26,20190211,00:00:00,788.1,795.0,778.6,780.0,898600
27,20190212,00:00:00,782.5,785.6,774.2,784.5,1113530
28,20190213,00:00:00,784.2,785.1,761.6,761.6,1212040
29,20190214,00:00:00,756.8,779.0,755.7,763.9,1408620
30,20190215,00:00:00,768.3,790.3,762.8,790.3,1192080
31,20190218,00:00:00,786.2,788.3,771.2,778.5,889470
32,20190219,00:00:00,778.0,781.9,770.0,772.8,621810
33,20190220,00:00:00,775.9,794.3,772.7,793.6,1394350
34,20190221,00:00:00,793.6,799.6,791.3,796.0,1275530
35,20190222,00:00:00,794.3,800.5,793.2,799.9,857710
36,20190225,00:00:00,799.9,800.0,783.0,787.1,948340
37,20190226,00:00:00,783.0,789.9,779.1,789.9,1096650
38,20190227,00:00:00,793.8,797.7,785.2,794.9,1581990
39,20190228,00:00:00,791.6,796.5,775.5,776.1,2348910
40,20190301,00:00:00,779.6,783.1,774.1,775.2,1177790
41,20190304,00:00:00,778.1,779.6,770.1,770.1,448960
42,20190305,00:00:00,768.0,770.0,760.0,760.0,620600
43,20190306,00:00:00,761.8,770.0,761.8,766.0,678410
44,20190307,00:00:00,766.2,767.1,753.9,755.2,917880
45,20190311,00:00:00,755.7,756.0,742.6,747.0,852160
46,20190312,00:00:00,749.0,751.3,727.9,732.5,1116870
47,20190313,00:00:00,734.3,734.3,716.6,729.0,1148560
48,20190314,00:00:00,730.0,737.8,724.1,731.8,1046370
49,20190315,00:00:00,731.7,744.4,729.4,743.8,2610930
50,20190318,00:00:00,742.8,757.8,737.0,753.1,1006930
51,20190319,00:00:00,755.0,768.1,751.5,767.0,1282350
52,20190320,00:00:00,767.1,780.0,760.8,772.6,1263400
53,20190321,00:00:00,773.6,783.0,757.6,768.0,2566330
54,20190322,00:00:00,765.9,772.8,753.0,757.2,1236470
55,20190325,00:00:00,752.0,758.5,745.8,747.2,701740
56,20190326,00:00:00,750.3,760.4,746.8,755.5,771580
57,20190327,00:00:00,757.8,765.0,744.2,746.9,785770
58,20190328,00:00:00,745.0,759.4,744.8,755.6,724890
59,20190329,00:00:00,757.6,764.8,748.9,755.0,1819040
60,20190401,00:00:00,755.6,763.3,750.7,750.7,760470
61,20190402,00:00:00,750.9,755.0,738.0,742.9,1044100
62,20190403,00:00:00,746.0,754.2,743.1,743.1,1159650
63,20190404,00:00:00,745.0,745.9,730.4,733.1,922510
64,20190405,00:00:00,734.5,738.0,726.4,731.2,627550
65,20190408,00:00:00,732.0,755.8,731.3,754.2,1282400
66,20190409,00:00:00,755.7,763.2,750.2,760.9,1156230
67,20190410,00:00:00,760.9,767.0,755.0,758.8,1947860
68,20190411,00:00:00,762.4,762.7,746.4,751.0,1053260
69,20190412,00:00:00,751.0,753.8,743.0,750.5,810650
70,20190415,00:00:00,750.6,751.6,738.8,741.9,633540
71,20190416,00:00:00,742.5,752.0,738.9,746.9,919610
72,20190417,00:00:00,750.9,754.9,745.1,751.6,1023430
73,20190418,00:00:00,749.2,750.0,741.0,749.2,638750
74,20190419,00:00:00,748.5,750.0,748.0,748.9,97720
75,20190422,00:00:00,750.1,756.5,750.1,752.0,150790
76,20190423,00:00:00,754.2,756.6,743.0,750.2,565110
77,20190424,00:00:00,748.1,753.5,740.3,743.5,1327780
78,20190425,00:00:00,742.4,744.6,734.1,738.2,1113420
79,20190426,00:00:00,738.9,777.3,733.2,767.3,3067830
80,20190429,00:00:00,765.5,767.3,749.5,754.9,1075880
81,20190430,00:00:00,753.8,764.4,751.1,757.5,1456370
82,20190502,00:00:00,757.5,769.7,753.3,754.1,907190
83,20190503,00:00:00,755.6,769.0,755.6,765.5,932500
84,20190506,00:00:00,761.0,769.0,755.2,765.3,485190
85,20190507,00:00:00,765.6,768.8,742.0,750.5,1750150
86,20190508,00:00:00,747.1,748.5,723.2,723.2,2018580
87,20190510,00:00:00,724.8,727.7,704.1,705.1,2050760
88,20190513,00:00:00,707.8,716.2,689.6,690.9,2105390
89,20190514,00:00:00,693.5,739.4,693.5,706.4,4416680
90,20190515,00:00:00,706.9,714.0,691.4,693.3,2029540
91,20190516,00:00:00,693.3,708.1,675.3,675.9,2594900
92,20190517,00:00:00,669.0,697.1,666.0,679.4,3396660
93,20190520,00:00:00,684.7,686.7,673.5,681.1,2055930
94,20190521,00:00:00,684.0,707.9,680.3,706.7,2015160
95,20190522,00:00:00,705.6,721.8,699.1,720.0,2291440
96,20190523,00:00:00,723.3,723.3,704.4,708.0,1454920
97,20190524,00:00:00,711.1,718.4,696.8,696.8,1559140
98,20190527,00:00:00,698.4,704.2,695.0,695.3,586730
99,20190528,00:00:00,696.2,714.4,685.0,702.8,6983900
100,20190529,00:00:00,700.1,725.9,697.5,725.9,2590220
101,20190530,00:00:00,725.8,759.5,725.1,754.1,2896310
102,20190531,00:00:00,744.0,759.0,735.0,748.5,2393440
103,20190603,00:00:00,746.8,760.8,740.5,759.9,1898120
104,20190604,00:00:00,759.9,771.5,752.1,766.9,2214710
105,20190605,00:00:00,769.7,769.7,744.6,755.7,1184300
106,20190606,00:00:00,755.7,763.3,752.0,758.6,1424140
107,20190607,00:00:00,768.8,775.0,753.6,753.6,1409860
108,20190610,00:00:00,757.0,761.8,752.4,759.4,972660
109,20190611,00:00:00,761.0,778.1,757.0,777.4,2893080
110,20190613,00:00:00,774.6,779.8,763.2,770.0,2007730
111,20190614,00:00:00,767.4,773.7,761.0,765.0,1327450
112,20190617,00:00:00,766.1,769.1,758.8,759.7,1108120
113,20190618,00:00:00,759.9,779.7,757.3,775.0,1474800
114,20190619,00:00:00,776.9,781.3,768.3,771.9,1109610
115,20190620,00:00:00,774.0,789.9,773.0,789.4,2759590
116,20190621,00:00:00,791.0,791.0,769.2,776.8,3198410
117,20190624,00:00:00,777.4,778.7,767.2,769.8,1359840
118,20190625,00:00:00,769.0,772.9,753.4,763.5,1430080
119,20190626,00:00:00,765.4,773.9,757.7,770.0,1931430
120,20190627,00:00:00,771.6,777.9,767.3,773.3,1422470
121,20190628,00:00:00,776.8,781.2,770.6,774.9,1328820
122,20190701,00:00:00,780.0,784.3,768.0,768.0,1575190
123,20190702,00:00:00,768.9,772.6,765.3,769.4,2443610
124,20190703,00:00:00,771.9,784.0,766.0,780.0,3172260
125,20190704,00:00:00,752.7,760.5,750.2,760.5,1849780
126,20190705,00:00:00,761.4,766.1,757.2,762.7,1378220
