,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,20210104,10:00:00,2398.6,2453.0,2395.2,2448.4,44587
1,20210104,11:00:00,2452.8,2479.6,2399.4,2410.0,51291
2,20210104,12:00:00,2409.8,2419.0,2379.6,2384.0,8414
3,20210104,13:00:00,2384.0,2429.8,2376.2,2428.4,11714
4,20210104,14:00:00,2429.6,2440.0,2418.2,2435.4,6607
5,20210104,15:00:00,2433.6,2469.4,2422.4,2465.2,20431
6,20210104,16:00:00,2465.2,2494.6,2461.8,2480.0,39272
7,20210104,17:00:00,2483.0,2497.0,2466.6,2488.0,20176
8,20210104,18:00:00,2489.4,2514.2,2484.8,2514.2,34122
9,20210104,19:00:00,2500.2,2515.8,2480.4,2486.8,15058
10,20210104,20:00:00,2486.2,2488.2,2480.6,2482.4,5700
11,20210104,21:00:00,2482.8,2486.8,2474.0,2478.8,23795
12,20210104,22:00:00,2478.8,2482.8,2472.2,2478.2,13198
13,20210104,23:00:00,2476.2,2481.0,2466.0,2473.0,7316
14,20210105,10:00:00,2462.0,2497.8,2461.8,2479.2,14172
15,20210105,11:00:00,2479.0,2500.0,2463.4,2499.0,19405
16,20210105,12:00:00,2497.0,2514.0,2490.6,2498.0,15728
17,20210105,13:00:00,2498.0,2504.4,2470.0,2483.8,21268
18,20210105,14:00:00,2478.4,2480.8,2466.0,2467.8,15815
19,20210105,15:00:00,2467.8,2468.6,2453.2,2461.0,15265
20,20210105,16:00:00,2461.8,2462.2,2453.0,2455.4,21176
21,20210105,17:00:00,2455.4,2462.2,2443.4,2451.8,27768
22,20210105,18:00:00,2449.6,2451.4,2436.0,2440.4,19040
23,20210105,19:00:00,2420.4,2450.0,2420.4,2445.0,10846
24,20210105,20:00:00,2446.0,2459.4,2446.0,2453.2,3518
25,20210105,21:00:00,2455.0,2456.8,2443.6,2445.4,23164
26,20210105,22:00:00,2447.6,2454.2,2442.6,2452.0,17613
27,20210105,23:00:00,2452.0,2454.6,2444.8,2454.0,4927
28,20210106,10:00:00,2431.0,2454.0,2425.0,2437.8,20392
29,20210106,11:00:00,2435.0,2475.0,2426.2,2471.8,27520
30,20210106,12:00:00,2471.6,2483.8,2454.6,2483.6,47956
31,20210106,13:00:00,2483.2,2490.0,2471.8,2484.4,11832
32,20210106,14:00:00,2485.8,2497.0,2480.4,2496.8,17147
33,20210106,15:00:00,2497.0,2499.0,2477.4,2477.4,17157
34,20210106,16:00:00,2477.4,2482.8,2450.4,2454.2,8991
35,20210106,17:00:00,2454.2,2479.4,2451.8,2459.0,11997
36,20210106,18:00:00,2458.6,2472.2,2456.2,2460.2,5770
37,20210106,19:00:00,2460.2,2465.8,2452.4,2456.6,9731
38,20210106,20:00:00,2456.8,2480.0,2456.8,2474.2,9540
39,20210106,21:00:00,2474.4,2486.6,2468.8,2477.0,16751
40,20210106,22:00:00,2477.2,2479.6,2460.0,2470.0,5863
41,20210106,23:00:00,2468.4,2476.4,2459.0,2469.8,2676
42,20210108,10:00:00,2598.8,2639.8,2566.0,2631.6,77895
43,20210108,11:00:00,2631.4,2799.0,2602.8,2797.2,141474
44,20210108,12:00:00,2798.8,2839.0,2770.0,2809.6,98333
45,20210108,13:00:00,2809.6,2834.4,2795.0,2831.0,81599
46,20210108,14:00:00,2831.0,2877.8,2830.0,2834.8,61707
47,20210108,15:00:00,2835.0,2884.2,2833.6,2874.8,38845
48,20210108,16:00:00,2874.0,2889.8,2860.4,2864.6,52910
49,20210108,17:00:00,2863.4,2947.6,2860.4,2945.8,94567
50,20210108,18:00:00,2943.6,2954.8,2911.0,2927.0,51631
51,20210108,19:00:00,2896.0,2913.4,2851.4,2900.0,43547
52,20210108,20:00:00,2899.4,2904.0,2895.0,2898.8,13809
53,20210108,21:00:00,2897.2,2898.0,2869.4,2892.0,8696
54,20210108,22:00:00,2894.0,2902.2,2893.2,2902.0,7464
55,20210108,23:00:00,2902.2,2930.0,2895.0,2925.0,23636
56,20210111,10:00:00,2899.8,3092.0,2855.2,3072.8,212659
57,20210111,11:00:00,3074.4,3112.0,3002.2,3040.2,162688
